Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-07-10 01:00,6666.75,6683.9,6635.59,6669.73,281.73,1875693.72,6657.7
2018-07-10 02:00,6662.44,6674.6,6647,6647,174.1,1160103.29,6663.38
2018-07-10 03:00,6652.52,6662.82,6621.99,6632.53,231.41,1536936.22,6641.7
2018-07-10 04:00,6631.17,6655.48,6625.54,6635.92,120.38,799154.77,6638.52
2018-07-10 05:00,6632.81,6651.06,6627.64,6640.57,94,624289.31,6641.32
2018-07-10 06:00,6640.12,6653.46,6620,6620.1,133.22,883912.06,6635.05
2018-07-10 07:00,6626.7,6628.5,6561.38,6597.85,715.13,4715779.85,6594.28
2018-07-10 08:00,6597.9,6616.37,6586.03,6605.66,208.42,1375495.37,6599.61
2018-07-10 09:00,6605.66,6622.9,6579.01,6587.97,167.93,1108556.67,6601.3
2018-07-10 10:00,6587.97,6597.88,6434.49,6450.34,1180.06,7674377.9,6503.35
2018-07-10 11:00,6450.99,6479.98,6425,6475.39,665.34,4292149.79,6451.04
2018-07-10 12:00,6472.94,6474.95,6298.95,6365.03,1393.7,8882928.43,6373.63
2018-07-10 13:00,6361.74,6380.33,6333.43,6371.8,399.54,2539600.16,6356.25
2018-07-10 14:00,6371.8,6400,6354.89,6388.58,442.86,2825502.74,6380.06
2018-07-10 15:00,6385.02,6392.94,6341.64,6378.05,420.65,2677103.57,6364.16
2018-07-10 16:00,6379.12,6391.52,6363.8,6385,152.02,969397.62,6376.82
2018-07-10 17:00,6386.19,6410.18,6333.63,6357.31,331.58,2113111.52,6372.93
2018-07-10 18:00,6356,6379.71,6334.89,6364.99,196.25,1248479.3,6361.61
2018-07-10 19:00,6364.94,6386.05,6358.64,6373.21,153.57,979101.72,6375.5
2018-07-10 20:00,6376.69,6377.72,6356.56,6373.75,237.2,1510212.41,6366.89
2018-07-10 21:00,6375.65,6400.99,6370,6388.59,304.55,1944997.16,6386.45
2018-07-10 22:00,6390.6,6407.51,6370,6373.9,151.16,965860.84,6389.77
2018-07-10 23:00,6370.01,6389.9,6350,6371.57,267.89,1705861.7,6367.8
2018-07-11 00:00,6371.57,6373.3,6270.84,6299.46,740.31,4671005.1,6309.5
2018-07-11 01:00,6304.45,6400,6288.43,6387.73,556.72,3536902.36,6353.06
2018-07-11 02:00,6387.39,6396.99,6354.25,6367.45,202.14,1289045.41,6377.03
2018-07-11 03:00,6367.85,6375.2,6351.93,6363.77,194.65,1238376.47,6362.12
2018-07-11 04:00,6361.98,6374.55,6333.63,6333.75,224.16,1424822.5,6356.38
2018-07-11 05:00,6335.95,6365.28,6319.64,6347.12,214.86,1362978.77,6343.43
2018-07-11 06:00,6347.18,6349,6290.07,6337.94,496.78,3142247.09,6325.29
2018-07-11 07:00,6339.77,6349,6285,6310.75,370.21,2334908.39,6307.04
2018-07-11 08:00,6307.01,6365.34,6306.66,6348.35,292.43,1852064.62,6333.38
2018-07-11 09:00,6348.43,6375.12,6343.37,6367.25,183.88,1169387.44,6359.53
2018-07-11 10:00,6368.14,6376.07,6320,6341.93,180.38,1144051.15,6342.6
2018-07-11 11:00,6338.73,6352.76,6320.68,6346.74,98.7,625785.95,6340.06
2018-07-11 12:00,6346.74,6397.21,6341.23,6374.5,311.06,1982035.1,6371.9
2018-07-11 13:00,6377.08,6388.67,6349.93,6369.94,162.46,1033356.18,6360.66
2018-07-11 14:00,6370.33,6396.26,6359.86,6372.31,414.21,2642648.72,6380.02
2018-07-11 15:00,6370.4,6373.55,6336.5,6364.74,213.19,1354805,6354.84
2018-07-11 16:00,6364.74,6369.65,6350,6361.51,196.35,1248900.09,6360.68
2018-07-11 17:00,6362.04,6364.94,6326.76,6345.93,177.23,1124136.88,6342.79
2018-07-11 18:00,6342.72,6371.45,6341.37,6351.79,194.5,1236655.99,6358.09
